Address,AdjustedPower,WinCount,SectorTotal,SectorActive,SectorFaults,SectorRecoveries,ReputationScore
f086985052,98.68,19519.0,1917205.0,1917196.0,0.0,9.0,951.8694345580326
f029977254,97.94,18502.0,1865510.0,1865502.0,0.0,8.0,925.259061813444
f080945973,97.53,17665.0,1853900.0,1853891.0,0.0,9.0,918.4056212519681
f047255895,92.79,16325.0,1951164.0,1951155.0,0.0,9.0,906.3410383882483
f092625094,96.67,19327.0,1764887.0,1764880.0,0.0,7.0,904.7378113112793
f050663082,99.0,16221.0,1870576.0,1870569.0,0.0,7.0,904.1749245658557
f066206400,95.36,18906.0,1833677.0,1833671.0,0.0,6.0,904.091080425928
f024813637,94.66,19979.0,1914507.0,1914497.0,1.0,9.0,893.8985493286219
f021750357,99.08,15862.0,1996756.0,1996745.0,1.0,10.0,891.991445664245
f068980087,84.23,18888.0,1885027.0,1885017.0,0.0,10.0,890.6027362028103
f017681803,86.81,18523.0,1986726.0,1986722.0,0.0,4.0,887.808305425463
f039379574,99.03,16828.0,1716383.0,1716375.0,0.0,8.0,885.808945165647
f043171864,97.92,19137.0,1910391.0,1910385.0,1.0,5.0,878.7535122001758
f078828294,93.59,19164.0,1866631.0,1866620.0,1.0,10.0,878.0034015837653
f055177215,96.82,16628.0,1702992.0,1702983.0,0.0,9.0,877.8467429678021
f043550303,98.34,16238.0,1946866.0,1946857.0,1.0,8.0,874.0656246307251
f074459554,90.21,17065.0,1965864.0,1965862.0,0.0,2.0,873.6452822703516
f016784651,95.57,13775.0,1921580.0,1921574.0,0.0,6.0,873.3487899494475
f012679093,80.75,18953.0,1972626.0,1972621.0,0.0,5.0,871.2076330784047
f059113054,95.28,19376.0,1656258.0,1656253.0,0.0,5.0,870.3443281995053
f090305570,96.56,18378.0,1903415.0,1903408.0,1.0,6.0,869.9435214302629
f099060521,95.34,17831.0,1598548.0,1598538.0,0.0,10.0,868.7062361680291
f080629076,98.22,18558.0,1803098.0,1803089.0,1.0,8.0,868.4259144560519
f061767149,84.92,19797.0,1792342.0,1792336.0,0.0,6.0,865.6583100646125
f097053389,99.88,14667.0,1695525.0,1695517.0,0.0,8.0,864.8884769136146
f097920704,94.88,19082.0,1547853.0,1547844.0,0.0,9.0,864.5290781198328
f041726261,96.04,17320.0,1758502.0,1758499.0,0.0,3.0,863.7349423195806
f051854989,98.73,13162.0,1957652.0,1957651.0,0.0,1.0,862.8097591568102
f071058749,99.08,11670.0,1975090.0,1975087.0,0.0,3.0,862.7792873735142
f041325273,98.52,12268.0,1880619.0,1880613.0,0.0,6.0,862.6348735539061
f033872036,99.54,19614.0,1888650.0,1888649.0,1.0,0.0,861.8372792997216
f046006695,96.38,15444.0,1898197.0,1898197.0,0.0,0.0,859.5654489530724
f071312037,94.7,14133.0,1995741.0,1995741.0,0.0,0.0,859.2652177630523
f019602842,76.58,18870.0,1952097.0,1952091.0,0.0,6.0,855.6764642419969
f093323525,99.4,12117.0,1930543.0,1930541.0,0.0,2.0,855.1526486788362
f059570108,94.37,17348.0,1818209.0,1818209.0,0.0,0.0,854.8941058794601
f036748841,86.96,18752.0,1940970.0,1940961.0,1.0,8.0,853.9138678689557
f041247583,90.05,19793.0,1672032.0,1672028.0,0.0,4.0,852.9631669244682
f096783973,99.77,17757.0,1973610.0,1973600.0,2.0,8.0,851.874221294414
f074147500,87.86,14791.0,1925934.0,1925929.0,0.0,5.0,850.1592955026027
f060040413,95.89,14436.0,1832649.0,1832646.0,0.0,3.0,850.0781620427842
f078206264,99.73,16457.0,1728887.0,1728887.0,0.0,0.0,849.9079500262752
f020617322,99.52,13160.0,1895523.0,1895512.0,1.0,10.0,849.4556403349592
f054025688,97.85,10553.0,1908892.0,1908886.0,0.0,6.0,849.3848822369376
f011574217,93.71,12924.0,1992960.0,1992959.0,0.0,1.0,848.4166086076048
f037182159,90.85,15387.0,1943511.0,1943511.0,0.0,0.0,846.8278696484606
f035894545,84.79,19757.0,1768846.0,1768843.0,0.0,3.0,846.3854679603022
f012421057,94.01,15541.0,1869190.0,1869179.0,1.0,10.0,846.1873078971507
f023653390,81.59,19767.0,1873616.0,1873615.0,0.0,1.0,844.7536385345953
f065703053,95.29,19880.0,1893966.0,1893955.0,2.0,9.0,844.7527038173164
f025602500,99.19,19640.0,1926993.0,1926986.0,2.0,5.0,844.5711817217314
f041289481,97.35,15335.0,1926715.0,1926709.0,1.0,5.0,844.1360708283494
f054300158,73.83,19109.0,1882645.0,1882637.0,0.0,8.0,843.9919374239249
f028189530,82.62,19700.0,1621192.0,1621182.0,0.0,10.0,842.8508345697018
f058963888,95.43,18508.0,1869975.0,1869972.0,1.0,2.0,841.9883709363536
f092700483,79.45,18364.0,1865312.0,1865307.0,0.0,5.0,840.7799684380412
f071108980,85.17,15926.0,1945956.0,1945954.0,0.0,2.0,840.433281799254
